userid,username,forumid,most_active_forum
8130,Z3ro.ru,183,Diskussionen
8122,hades,183,Diskussionen
8121,radiostart,181,"Zahlungsmethoden und Cashout"
8115,blade321,265,"Tools / Software"
8107,wuz,216,Searching
8102,n3Xtlvl,NULL,NULL
8091,lcf11,170,"All about Fraud"
8087,gattex,313,"Allgemeines Archiv"
8080,Blu,NULL,NULL
8078,weizen01,182,"Die Fragen der Neulinge"
8071,Misa,182,"Die Fragen der Neulinge"
8068,Scorp,171,"Virtual Carding"
8066,nichtdort,NULL,NULL
8064,Pumpkin,216,Searching
8062,Ansem,181,"Zahlungsmethoden und Cashout"
8048,"ich bin der co",NULL,NULL
8046,b3g1n3R,183,Diskussionen
8043,Arcangelo,183,Diskussionen
8033,MoVo,249,Offtopic
8026,.Blume,181,"Zahlungsmethoden und Cashout"
8023,Al_Capone77,182,"Die Fragen der Neulinge"
16475,DoNot,NULL,NULL
16476,Latex,NULL,NULL
8019,hami,182,"Die Fragen der Neulinge"
8016,epic,216,Searching
8013,M4L!BU,188,Vorstellungen
8011,cryten,182,"Die Fragen der Neulinge"
8007,M!NDFREAK,196,"Nachrichten Germany"
8006,GoldRock,182,"Die Fragen der Neulinge"
8003,Silence,171,"Virtual Carding"
8001,Triple,249,Offtopic
7999,Apekw_,196,"Nachrichten Germany"
7992,Makaveli27,211,"Goods / Drugs / Self Defense"
7975,Dream,NULL,NULL
7974,BlackHook,188,Vorstellungen
7955,Maccaveli,209,Carding/Instorecarding
7952,Dr.Illu,182,"Die Fragen der Neulinge"
7948,Dr.Extase,238,Trojaner
7944,onur19,183,Diskussionen
7943,karensunder,203,"Virtual creditcard (Cvv)"
7942,Virus,170,"All about Fraud"
7937,BiOoPERaTiOn,212,"Services / Setup"
7931,iBuy,182,"Die Fragen der Neulinge"
7930,qweasy,196,"Nachrichten Germany"
7929,Skanderbeg,181,"Zahlungsmethoden und Cashout"
7927,luizlauro,203,"Virtual creditcard (Cvv)"
7920,crephix,211,"Goods / Drugs / Self Defense"
7919,STEV1E,251,Sonstiges
7916,leon2lex,211,"Goods / Drugs / Self Defense"
16451,mzsexxie,NULL,NULL
16452,khlomaki,NULL,NULL
16453,AngrY,NULL,NULL
7911,GLAUK0S,181,"Zahlungsmethoden und Cashout"
7910,SainT,188,Vorstellungen
7908,NDTBIT,209,Carding/Instorecarding
7906,dejavue,181,"Zahlungsmethoden und Cashout"
7903,9175,181,"Zahlungsmethoden und Cashout"
7897,Stype,NULL,NULL
7896,h4Rd,182,"Die Fragen der Neulinge"
7888,moneydude9669,174,Paymentsystems
7887,DJENA,189,Tutorials
7885,Unleashed,221,"Warez Accounts"
7884,King99,181,"Zahlungsmethoden und Cashout"
7882,autoGaist,189,Tutorials
7880,AMD,181,"Zahlungsmethoden und Cashout"
7876,UnReaL792,182,"Die Fragen der Neulinge"
7875,Legend300,182,"Die Fragen der Neulinge"
7871,debug,175,"<font color=#FF8C00>Sell CC + CVV</font>"
7866,Olidaeine,NULL,NULL
7863,HeppyFree,204,"English Main"
7862,TimeKiller,216,Searching
7858,oKay,NULL,NULL
7854,b1ack0ut,182,"Die Fragen der Neulinge"
7850,StrikerX199,189,Tutorials
7849,Pok,NULL,NULL
7841,x3r0x,189,Tutorials
7830,Panic,NULL,NULL
7820,ToterOpa,NULL,NULL
7819,Gewalttat,182,"Die Fragen der Neulinge"
7816,Nop0x90,182,"Die Fragen der Neulinge"
7813,Kollegah,182,"Die Fragen der Neulinge"
7812,T0x!n,231,Botnet
7811,Zagerus,226,"Support / Kritik / Verbesserungsvorschläge"
7809,Tetris,NULL,NULL
7806,Tamiflu,NULL,NULL
7805,desibug,188,Vorstellungen
7804,zuka,182,"Die Fragen der Neulinge"
7799,Switchmaster,216,Searching
7796,systemboss,182,"Die Fragen der Neulinge"
7777,###,189,Tutorials
7768,Zer0Phr34k,181,"Zahlungsmethoden und Cashout"
7766,nicola,NULL,NULL
7756,onix,183,Diskussionen
7754,Aquintus1988,NULL,NULL
7743,Siakospel,181,"Zahlungsmethoden und Cashout"
7738,charlieharper,182,"Die Fragen der Neulinge"
7735,DarylGecko,236,"Hash Verschlüselungen / Passwort Cracking"
7731,ghostx,206,"Online banking logins"
7729,slashx,182,"Die Fragen der Neulinge"
7723,Ganymedes,169,"About Forum - News"
7722,schneeMANN,181,"Zahlungsmethoden und Cashout"
7717,fame.de,182,"Die Fragen der Neulinge"
7716,cam0ra,216,Searching
7711,humpeNN,181,"Zahlungsmethoden und Cashout"
7707,Stehlampe,189,Tutorials
7706,Yxaiio,182,"Die Fragen der Neulinge"
7694,]SpAwN[,181,"Zahlungsmethoden und Cashout"
7692,usher99,NULL,NULL
7690,Acer,181,"Zahlungsmethoden und Cashout"
7688,goll89,NULL,NULL
7683,skunk,182,"Die Fragen der Neulinge"
7671,Black_,181,"Zahlungsmethoden und Cashout"
7667,toco,181,"Zahlungsmethoden und Cashout"
7665,jerry,209,Carding/Instorecarding
7663,Headz0r,182,"Die Fragen der Neulinge"
7662,jekat30,173,"Identification &amp; Documents"
7659,D-Kay,181,"Zahlungsmethoden und Cashout"
7651,Revenger,182,"Die Fragen der Neulinge"
7648,c4sh,238,Trojaner
7647,F!rewall,183,Diskussionen
7645,Kokz,249,Offtopic
7643,Kallye,189,Tutorials
7637,itsme,181,"Zahlungsmethoden und Cashout"
7634,st0ic,181,"Zahlungsmethoden und Cashout"
7631,restor,181,"Zahlungsmethoden und Cashout"
7629,WeedPimp,232,"Pay TV / Onlineradio"
7627,RuSsAk,NULL,NULL
7625,bleck,NULL,NULL
7622,Dracker,NULL,NULL
7621,iiiva,182,"Die Fragen der Neulinge"
7620,punani,181,"Zahlungsmethoden und Cashout"
7618,moOXiii,182,"Die Fragen der Neulinge"
7616,WickedGuy,182,"Die Fragen der Neulinge"
7615,deathdeeler,196,"Nachrichten Germany"
7611,real,NULL,NULL
7609,Efectaz,203,"Virtual creditcard (Cvv)"
7608,DieZiege,188,Vorstellungen
7607,spRayaH,174,Paymentsystems
7606,Credit,181,"Zahlungsmethoden und Cashout"
7604,_PaYbAcK_,209,Carding/Instorecarding
7601,leoelboss,222,"Sonstige Accounts"
7595,whiterussian,181,"Zahlungsmethoden und Cashout"
7592,Merrox,251,Sonstiges
7585,dollarboss,203,"Virtual creditcard (Cvv)"
7581,PAN,189,Tutorials
7578,Hawkins,171,"Virtual Carding"
7576,mushy,216,Searching
7574,blacKy,216,Searching
7572,teflon,188,Vorstellungen
7570,hacktheplanet,209,Carding/Instorecarding
7562,Pilatus,189,Tutorials
7558,ZeroX,182,"Die Fragen der Neulinge"
7557,Pille,189,Tutorials
7556,raydonavan,182,"Die Fragen der Neulinge"
7551,aKa_PaYbAcK,NULL,NULL
7549,zap,223,Identitäten/Docs/IDs/
7543,Sun.X,181,"Zahlungsmethoden und Cashout"
16420,Nolimits,188,Vorstellungen
7533,Faceman79,189,Tutorials
7532,Mochi,209,Carding/Instorecarding
7531,hoodranger,NULL,NULL
7530,JayKo,NULL,NULL
7523,Ace,182,"Die Fragen der Neulinge"
7512,carderxxx,183,Diskussionen
7510,killer123,246,"Software &amp; OS"
7500,dPLUS,183,Diskussionen
7499,blackpanther,NULL,NULL
7496,yatko,181,"Zahlungsmethoden und Cashout"
7495,BlackNova,183,Diskussionen
7492,metalwarlock,181,"Zahlungsmethoden und Cashout"
7488,westsidez,236,"Hash Verschlüselungen / Passwort Cracking"
7487,reQuire,181,"Zahlungsmethoden und Cashout"
7483,deutscherrusse,NULL,NULL
7480,necory,182,"Die Fragen der Neulinge"
7479,mario_1989,181,"Zahlungsmethoden und Cashout"
7469,dncey0,182,"Die Fragen der Neulinge"
7459,eXecute,170,"All about Fraud"
7455,cclieber,NULL,NULL
7446,chanhex,203,"Virtual creditcard (Cvv)"
7445,[UF(o).]A.,313,"Allgemeines Archiv"
7441,nokai,171,"Virtual Carding"
7434,yarakmasiv,211,"Goods / Drugs / Self Defense"
7424,impaleD,NULL,NULL
7423,cr@ck,NULL,NULL
7409,Ukash,182,"Die Fragen der Neulinge"
7407,ajeshoven,252,Crypter/Packer/Binder
7404,incognito,181,"Zahlungsmethoden und Cashout"
7402,Kelleraxe^,NULL,NULL
7400,panno,216,Searching
7398,KoB24,174,Paymentsystems
7396,lt;businessmangt;,181,"Zahlungsmethoden und Cashout"
7395,N-Skyline,314,"Marktplatz Archiv"
7387,helloworld,211,"Goods / Drugs / Self Defense"
7385,hansdieter13,216,Searching
7383,heavygun,181,"Zahlungsmethoden und Cashout"
7379,Eiskalt,170,"All about Fraud"
7378,ivenom,216,Searching
7369,g4m,249,Offtopic
7359,petipenner,173,"Identification &amp; Documents"
7358,ViD,209,Carding/Instorecarding
7351,balisto,NULL,NULL
7348,marilly,NULL,NULL
7347,H1xx3r,181,"Zahlungsmethoden und Cashout"
7343,1337carder,236,"Hash Verschlüselungen / Passwort Cracking"
7341,lowl,215,"Tools / Malware"
7336,VoxX,226,"Support / Kritik / Verbesserungsvorschläge"
7335,Frostie,188,Vorstellungen
7334,mathiasgoletz,182,"Die Fragen der Neulinge"
7330,welovecarders,182,"Die Fragen der Neulinge"
7327,barlow1337,183,Diskussionen
7325,RaKoS,181,"Zahlungsmethoden und Cashout"
7321,TrickTrick,181,"Zahlungsmethoden und Cashout"
7317,Nobodz,174,Paymentsystems
7316,Kolovrat,182,"Die Fragen der Neulinge"
7313,Banger,181,"Zahlungsmethoden und Cashout"
7306,XRave,193,"Social Engeneering"
7305,Lutschi,211,"Goods / Drugs / Self Defense"
7304,Burner[NEW],181,"Zahlungsmethoden und Cashout"
7297,pau,NULL,NULL
16490,Harvard,183,Diskussionen
16491,D4t4,188,Vorstellungen
7293,g0dL1ke1337,183,Diskussionen
7290,Socks-Service,179,"<font color=#FF8C00>Anonymity Services</font>"
7289,d33rhunt3r,181,"Zahlungsmethoden und Cashout"
7285,headseeker,237,"Phreaking / Lockpicking"
7284,Solaro,181,"Zahlungsmethoden und Cashout"
7283,yes-Yes_y0w,182,"Die Fragen der Neulinge"
7277,sourc3,181,"Zahlungsmethoden und Cashout"
7275,J_Bunny,216,Searching
7273,toni,196,"Nachrichten Germany"
7272,KnechtRuprecht,171,"Virtual Carding"
7263,mabo,182,"Die Fragen der Neulinge"
7261,Staix,216,Searching
7259,Shisha,216,Searching
7258,Opxes,173,"Identification &amp; Documents"
7254,NWA,181,"Zahlungsmethoden und Cashout"
7251,SeriallKiller,189,Tutorials
7247,"Franz Hose",188,Vorstellungen
7237,King_Styler,NULL,NULL
7231,0010110101001,182,"Die Fragen der Neulinge"
7228,Scorpion124,181,"Zahlungsmethoden und Cashout"
7223,Niggas4Life,181,"Zahlungsmethoden und Cashout"
7218,sh0kfir3,181,"Zahlungsmethoden und Cashout"
7217,Nightsaber,182,"Die Fragen der Neulinge"
7211,ForrestGriffin,181,"Zahlungsmethoden und Cashout"
7210,RaZ0r2k7,211,"Goods / Drugs / Self Defense"
7208,hoppski,216,Searching
7205,stricher,182,"Die Fragen der Neulinge"
7199,lostrudel,NULL,NULL
7198,methefoo,211,"Goods / Drugs / Self Defense"
7191,Kraitrazer,NULL,NULL
7186,Futos,245,"GFX and Video"
7185,polinger,183,Diskussionen
7184,Sony92,209,Carding/Instorecarding
7183,kingling,182,"Die Fragen der Neulinge"
7178,aliadso,189,Tutorials
7177,blijed,181,"Zahlungsmethoden und Cashout"
7173,N3Cr0N,182,"Die Fragen der Neulinge"
7172,TA4G,171,"Virtual Carding"
7170,R3vo,182,"Die Fragen der Neulinge"
7169,localroot,182,"Die Fragen der Neulinge"
7163,Blakharaz,181,"Zahlungsmethoden und Cashout"
10806,stilo2002,211,"Goods / Drugs / Self Defense"
7156,"Mr. Nice Guy",216,Searching
7154,KezZza,182,"Die Fragen der Neulinge"
7150,lolmaker911,181,"Zahlungsmethoden und Cashout"
7146,Cam0cka,236,"Hash Verschlüselungen / Passwort Cracking"
7145,Dr.Faust,181,"Zahlungsmethoden und Cashout"
7140,timbobimbo,216,Searching
7138,Kaho,183,Diskussionen
7136,CashoutKing,181,"Zahlungsmethoden und Cashout"
7132,trace,194,"Skimming und Vorschaltgeräte"
7123,PyTh@n,182,"Die Fragen der Neulinge"
7119,xam4,181,"Zahlungsmethoden und Cashout"
7118,david_osiris,181,"Zahlungsmethoden und Cashout"
7114,H3alth,183,Diskussionen
7096,SunDay,189,Tutorials
7095,bLa2o1o,216,Searching
7094,SecUpwN,183,Diskussionen
7092,keksi,219,"VPN/ Proxies"
7089,and1,249,Offtopic
7087,Bandito,189,Tutorials
7086,cangria,182,"Die Fragen der Neulinge"
7084,Dr.Gr33nthumb,223,Identitäten/Docs/IDs/
7077,bennu,211,"Goods / Drugs / Self Defense"
7076,aSi,216,Searching
7075,necro,189,Tutorials
7074,M4verick,251,Sonstiges
7073,Fray,181,"Zahlungsmethoden und Cashout"
7070,Zuruck,181,"Zahlungsmethoden und Cashout"
16494,DUYBLUE,NULL,NULL
7065,CyberGhost,183,Diskussionen
7063,psycho_ak,182,"Die Fragen der Neulinge"
7060,paTTaX,216,Searching
7059,sybaweb,182,"Die Fragen der Neulinge"
7052,DragN,181,"Zahlungsmethoden und Cashout"
7050,Mass,209,Carding/Instorecarding
7045,SoL1sT,182,"Die Fragen der Neulinge"
7042,askay,NULL,NULL
7039,n0ize,216,Searching
7037,lolomatiko,196,"Nachrichten Germany"
7035,k0ck3r,181,"Zahlungsmethoden und Cashout"
7034,lucker445,181,"Zahlungsmethoden und Cashout"
7032,reflex,189,Tutorials
7029,Vini,171,"Virtual Carding"
7028,Der1Pate,196,"Nachrichten Germany"
7027,Kirox,181,"Zahlungsmethoden und Cashout"
7025,LuckyStrike,189,Tutorials
7022,SPEC1AL0S,174,Paymentsystems
7018,padii,NULL,NULL
7015,L0rem,212,"Services / Setup"
7003,phia,181,"Zahlungsmethoden und Cashout"
7002,Swich,182,"Die Fragen der Neulinge"
6990,bukake,NULL,NULL
6988,McTrash,NULL,NULL
6984,bebbo,211,"Goods / Drugs / Self Defense"
6979,scriptX,209,Carding/Instorecarding
6977,Suppenhorst,NULL,NULL
6975,Authentisch,178,"<font color=#FF8C00>Plastic &amp; Documents</font>"
6970,RapiX,182,"Die Fragen der Neulinge"
6969,PEZ3r0,189,Tutorials
6968,dmex,216,Searching
6967,Darkrain,181,"Zahlungsmethoden und Cashout"
6966,tomee,209,Carding/Instorecarding
6962,NextDoor,211,"Goods / Drugs / Self Defense"
6961,xEAM,182,"Die Fragen der Neulinge"
6957,N!sk,209,Carding/Instorecarding
6956,GossipBoii,189,Tutorials
6955,spitfire,206,"Online banking logins"
6954,QFiRE,182,"Die Fragen der Neulinge"
6952,tarnung91,182,"Die Fragen der Neulinge"
6948,osterhase89,313,"Allgemeines Archiv"
6945,rasko_W,182,"Die Fragen der Neulinge"
6944,zidan369,182,"Die Fragen der Neulinge"
6940,dnsHF,182,"Die Fragen der Neulinge"
6930,Shade,182,"Die Fragen der Neulinge"
6929,makemoney,189,Tutorials
6924,Wounder,171,"Virtual Carding"
6918,Fatalo,NULL,NULL
6913,PxeL.exe,189,Tutorials
6911,eSC_phr34k,NULL,NULL
6910,derandere,209,Carding/Instorecarding
6907,Stinger,183,Diskussionen
6903,jackbauer,182,"Die Fragen der Neulinge"
6902,Clown,216,Searching
6899,"King of Hackz",183,Diskussionen
16418,eXuAA,183,Diskussionen
6896,freshnel,174,Paymentsystems
6890,donmichele,170,"All about Fraud"
6878,Cloudstrike,216,Searching
6876,KiiNGDeZz,182,"Die Fragen der Neulinge"
6874,KoKaiiN,219,"VPN/ Proxies"
6873,Muugle,NULL,NULL
6871,lazukin,211,"Goods / Drugs / Self Defense"
